Date,Discharge
10/1/1940,127
10/2/1940,120
10/3/1940,122
10/4/1940,120
10/5/1940,114
10/6/1940,110
10/7/1940,111
10/8/1940,771
10/9/1940,549
10/10/1940,401
10/11/1940,316
10/12/1940,267
10/13/1940,238
10/14/1940,217
10/15/1940,203
10/16/1940,238
10/17/1940,214
10/18/1940,200
10/19/1940,186
10/20/1940,178
10/21/1940,170
10/22/1940,163
10/23/1940,153
10/24/1940,149
10/25/1940,144
10/26/1940,140
10/27/1940,133
10/28/1940,129
10/29/1940,122
10/30/1940,162
10/31/1940,210
11/1/1940,203
11/2/1940,549
11/3/1940,816
11/4/1940,684
11/5/1940,533
11/6/1940,592
11/7/1940,586
11/8/1940,534
11/9/1940,481
11/10/1940,459
11/11/1940,441
11/12/1940,519
11/13/1940,1080
11/14/1940,946
11/15/1940,2460
11/16/1940,2430
11/17/1940,1900
11/18/1940,1630
11/19/1940,1370
11/20/1940,1270
11/21/1940,1230
11/22/1940,1100
11/23/1940,980
11/24/1940,902
11/25/1940,831
11/26/1940,721
11/27/1940,680
11/28/1940,700
11/29/1940,600
11/30/1940,640
12/1/1940,631
12/2/1940,565
12/3/1940,450
12/4/1940,290
12/5/1940,350
12/6/1940,450
12/7/1940,580
12/8/1940,640
12/9/1940,620
12/10/1940,600
12/11/1940,620
12/12/1940,614
12/13/1940,1910
12/14/1940,2060
12/15/1940,1280
12/16/1940,1430
12/17/1940,2860
12/18/1940,1900
12/19/1940,1700
12/20/1940,1550
12/21/1940,1510
12/22/1940,1410
12/23/1940,1240
12/24/1940,1020
12/25/1940,920
12/26/1940,901
12/27/1940,1400
12/28/1940,4070
12/29/1940,6200
12/30/1940,7200
12/31/1940,4600
1/1/1941,3300
1/2/1941,2500
1/3/1941,2050
1/4/1941,1800
1/5/1941,1500
1/6/1941,1270
1/7/1941,1090
1/8/1941,942
1/9/1941,841
1/10/1941,947
1/11/1941,780
1/12/1941,620
1/13/1941,560
1/14/1941,480
1/15/1941,340
1/16/1941,490
1/17/1941,640
1/18/1941,697
1/19/1941,680
1/20/1941,410
1/21/1941,330
1/22/1941,400
1/23/1941,420
1/24/1941,320
1/25/1941,360
