number,year,month,day,discharge,ET,precp
1,1940,10,1,127,0.11,0
2,1940,10,2,120,0.1,0.05
3,1940,10,3,122,0.12,0.08
4,1940,10,4,120,0.11,0
5,1940,10,5,114,0.1,0
6,1940,10,6,110,0.15,0.23
7,1940,10,7,111,0.17,0.08
8,1940,10,8,771,0.16,2.87
9,1940,10,9,549,0.09,0
10,1940,10,10,401,0.1,0
11,1940,10,11,316,0,0
12,1940,10,12,267,0.12,0
13,1940,10,13,238,0.13,0
14,1940,10,14,217,0.11,0
15,1940,10,15,203,0.11,0.71
16,1940,10,16,238,0.07,0
17,1940,10,17,214,0.07,0
18,1940,10,18,200,0.07,1.07
19,1940,10,19,186,0,0
20,1940,10,20,178,0,0
21,1940,10,21,170,0.06,0.13
22,1940,10,22,163,0,0
23,1940,10,23,153,0.1,0
24,1940,10,24,149,0.11,0
25,1940,10,25,144,0.08,0.03
26,1940,10,26,140,0.07,0
27,1940,10,27,133,0.06,0
28,1940,10,28,129,0,0
29,1940,10,29,122,0.06,0
30,1940,10,30,162,0.08,0.61
31,1940,10,31,210,0.08,0.64
32,1940,11,1,203,0.07,0
33,1940,11,2,549,0.08,2.06
34,1940,11,3,816,0.07,0.13
35,1940,11,4,684,0.08,0
36,1940,11,5,533,0.09,0
37,1940,11,6,592,0.09,0.74
38,1940,11,7,586,0.05,0.08
39,1940,11,8,534,0,0
40,1940,11,9,481,0.05,0
41,1940,11,10,459,0.05,0
42,1940,11,11,441,0.08,0
43,1940,11,12,519,0.08,1.22
44,1940,11,13,1080,0.08,0.08
45,1940,11,14,946,0.05,0.51
46,1940,11,15,2460,0.06,0.86
47,1940,11,16,2430,0.04,0.08
48,1940,11,17,1900,0.04,0.13
49,1940,11,18,1630,0,0.13
50,1940,11,19,1370,0.05,0
51,1940,11,20,1270,0.06,0.13
52,1940,11,21,1230,0.07,0
53,1940,11,22,1100,0.09,0
54,1940,11,23,980,0.06,1.78
55,1940,11,24,902,0.05,0
56,1940,11,25,831,0,0.08
57,1940,11,26,721,0,0
58,1940,11,27,680,0,1.52
59,1940,11,28,700,0,0.2
60,1940,11,29,600,0,0.13
61,1940,11,30,640,0,0.05
62,1940,12,1,631,0,0.58
63,1940,12,2,565,0,0
64,1940,12,3,450,0,0.2
65,1940,12,4,290,0,0
66,1940,12,5,350,0,0.48
67,1940,12,6,450,0,0
68,1940,12,7,580,0,0.2
69,1940,12,8,640,0.04,0
70,1940,12,9,620,0,0
71,1940,12,10,600,0,0
72,1940,12,11,620,0.04,0
73,1940,12,12,614,0,0.56
74,1940,12,13,1910,0.05,0.23
75,1940,12,14,2060,0,0
76,1940,12,15,1280,0,0
77,1940,12,16,1430,0,0.43
78,1940,12,17,2860,0,0.46
79,1940,12,18,1900,0,0
80,1940,12,19,1700,0,0
81,1940,12,20,1550,0.05,0
82,1940,12,21,1510,0.05,0
83,1940,12,22,1410,0.04,0.08
84,1940,12,23,1240,0,0
85,1940,12,24,1020,0,0
86,1940,12,25,920,0.05,0
87,1940,12,26,901,0.04,0
88,1940,12,27,1400,0.05,0.23
89,1940,12,28,4070,0.06,0.43
90,1940,12,29,6200,0.07,0.64
91,1940,12,30,7200,0.06,0.2
92,1940,12,31,4600,0.05,0
93,1941,1,1,3300,0.05,0
94,1941,1,2,2500,0,0.08
95,1941,1,3,2050,0,0.69
96,1941,1,4,1800,0,0
97,1941,1,5,1500,0,0.25
98,1941,1,6,1270,0,0
99,1941,1,7,1090,0,0
100,1941,1,8,942,0,0
