,Year,Month,Day,Prec,Tmax,Tmin
1,1940,10,1,0,172,39
2,1940,10,2,5,150,11
3,1940,10,3,8,194,50
4,1940,10,4,0,183,33
5,1940,10,5,0,194,-17
6,1940,10,6,23,189,106
7,1940,10,7,8,217,128
8,1940,10,8,287,211,106
9,1940,10,9,0,144,11
10,1940,10,10,0,150,11
11,1940,10,11,0,183.5,16.5
12,1940,10,12,0,217,22
13,1940,10,13,0,200,67
14,1940,10,14,0,211,-11
15,1940,10,15,71,172,39
16,1940,10,16,0,106,-56
17,1940,10,17,0,128,-72
18,1940,10,18,107,67,6
19,1940,10,19,0,33,-117
20,1940,10,20,0,50,-117
21,1940,10,21,13,50,-17
22,1940,10,22,0,72,-117
23,1940,10,23,0,200,-39
24,1940,10,24,0,178,17
25,1940,10,25,3,139,-50
26,1940,10,26,0,83,-6
27,1940,10,27,0,61,-50
28,1940,10,28,0,67,-106
29,1940,10,29,0,133,-100
30,1940,10,30,61,100,11
31,1940,10,31,64,61,39
32,1940,11,1,0,100,39
33,1940,11,2,206,122,61
34,1940,11,3,13,111,6
35,1940,11,4,0,189,-22
36,1940,11,5,0,194,28
37,1940,11,6,74,178,22
38,1940,11,7,8,50,-17
39,1940,11,8,0,0,-17
40,1940,11,9,0,39,-22
41,1940,11,10,0,83,-56
42,1940,11,11,0,133,50
43,1940,11,12,122,144,44
44,1940,11,13,8,183,11
45,1940,11,14,51,44,6
46,1940,11,15,86,44,22
47,1940,11,16,8,33,-28
48,1940,11,17,13,22,-17
49,1940,11,18,13,11,-17
50,1940,11,19,0,56,-22
51,1940,11,20,13,89,6
52,1940,11,21,0,89,39
53,1940,11,22,0,172,56
54,1940,11,23,178,83,28
55,1940,11,24,0,44,-6
56,1940,11,25,8,33,-56
57,1940,11,26,0,0,-128
58,1940,11,27,152,0,-61
59,1940,11,28,20,0,-100
60,1940,11,29,13,-28,-122
61,1940,11,30,5,17,-61
62,1940,12,1,58,44,-44
63,1940,12,2,0,-33,-178
64,1940,12,3,20,-44,-167
65,1940,12,4,0,-111,-289
66,1940,12,5,48,-11,-94
67,1940,12,6,0,-11,-178
68,1940,12,7,20,33,-61
69,1940,12,8,0,44,-6
70,1940,12,9,0,-6,-56
71,1940,12,10,0,61,-128
72,1940,12,11,0,44,-17
